username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-01-02 04:15;0;1;"not sure I know what makes a comedy “stupid.” But Zombieland is one of the smartest comedies that come to mind. Enjoy!";;;;"1212573067727298560";https://twitter.com/netflix/status/1212573067727298560
;2020-01-02 04:14;0;2;"If you are loving HTGAWM you will also love Scandal! # WhatToWatchOnNetflix";;;#;"1212572964790640640";https://twitter.com/netflix/status/1212572964790640640
;2020-01-02 04:13;0;0;"how about Inception, I am Mother, or Snowpiercer? # whattowatchonnetflix";;;#;"1212572699500990464";https://twitter.com/netflix/status/1212572699500990464
;2020-01-02 04:12;0;0;"have you seen Medici? # whattowatchonnetflix";;;#;"1212572452133462017";https://twitter.com/netflix/status/1212572452133462017
;2020-01-02 04:12;0;0;"For more high-concept sci-fi try Another Life and What Happened to Monday # whattowatchonnetflix";;;#;"1212572451617554432";https://twitter.com/netflix/status/1212572451617554432
;2020-01-02 04:12;0;3;"Oooh try Sherlock next! # WhatToWatchOnNetflix";;;#;"1212572387948011520";https://twitter.com/netflix/status/1212572387948011520
;2020-01-02 04:12;0;0;"also try Marcella and Collateral if you liked Broadchurch and Happy Valley!";;;;"1212572218577870849";https://twitter.com/netflix/status/1212572218577870849
;2020-01-02 04:10;0;1;"try Dirty John for another insane love story.";;;;"1212571955263610880";https://twitter.com/netflix/status/1212571955263610880
;2020-01-02 04:10;0;1;"okay you have to watch The Witcher too!";;;;"1212571754754908160";https://twitter.com/netflix/status/1212571754754908160
;2020-01-02 04:09;0;7;"Sometimes when I'm stressed out it helps to watch some fun shows from back in the day. I recommend a healthy dose of Scooby Doo (there's lots to choose from). If that doesn't do it, watch Billy Eichner yell at strangers in Billy On The Street! # whattowatchonnetflix";;;#;"1212571637599653892";https://twitter.com/netflix/status/1212571637599653892
;2020-01-02 04:09;0;3;"have you seen Sugar Rush yet? I'd start with that. Then you can keep the wholesome/positive vibes going with Tidying Up With Marie Kondo and Queer Eye. # whattowatchonnetflix";;;#;"1212571507760750593";https://twitter.com/netflix/status/1212571507760750593
;2020-01-02 04:08;0;1;"Try Jupiter Ascending or Cirque du Freak: The Vampire's Assistant! # WhatToWatchOnNetflix";;;#;"1212571400860585984";https://twitter.com/netflix/status/1212571400860585984
;2020-01-02 04:07;0;1;"no intervention needed, but sounds like you should try The Order and The Witcher.";;;;"1212571013554286592";https://twitter.com/netflix/status/1212571013554286592
;2020-01-02 04:05;0;1;"@ BBBSJV how about Russian Doll or Living With Yourself?";;@;;"1212570647399976960";https://twitter.com/netflix/status/1212570647399976960
;2020-01-02 04:05;0;2;"I would recommend The Chilling Adventures of Sabrina or Schitt's Creek, but I'm biased (by my love for great shows!) # whattowatchonnetflix";;;#;"1212570602692841472";https://twitter.com/netflix/status/1212570602692841472
;2020-01-02 04:04;0;0;"Absolutely! Check out Lost In Space and She-Ra - both great shows you can watch with the whole family # whattowatchonnetflix";;;#;"1212570260525789184";https://twitter.com/netflix/status/1212570260525789184
;2020-01-02 04:01;0;1;"Try Aggretsuko and One Punch Man! # WhatToWatchOnNetflix";;;#;"1212569699231436800";https://twitter.com/netflix/status/1212569699231436800
;2020-01-02 04:01;0;1;"have you watched V Wars or The Order?";;;;"1212569561498898434";https://twitter.com/netflix/status/1212569561498898434
;2020-01-02 04:01;0;4;"Give The Society a shot # whattowatchonnetflix";;;#;"1212569462215454720";https://twitter.com/netflix/status/1212569462215454720
